ts,total_conn,active_conn,idle_conn
02:39:40,12,2,10
02:39:40,12,7,5
02:39:41,12,1,11
02:39:41,12,1,11
02:39:41,12,4,8
02:39:41,12,6,6
02:39:42,12,7,5
02:39:42,12,7,5
02:39:42,12,2,10
02:39:43,12,4,8
02:39:43,12,1,11
02:39:43,12,1,11
02:39:43,12,4,8
02:39:44,12,4,8
02:39:44,12,1,11
