clients,msg_target,open_ok,open_fail,send_ok,send_fail,first_delivery_rate,fanout_ratio,p95_ms,p99_ms,max_ms,duration_s
20,300,20,0,300,0,1,1,8.072415999999976,13.255583999999999,44.78662499999999,1.557
50,300,50,0,300,0,1,0.9978666666666667,6.9056659999999965,9.32454100000001,9.927625000000035,1.575
100,300,100,0,300,0,1,1,6.43466699999999,8.518916999999988,9.487916999999925,1.641
200,150,153,47,150,0,1,1,7.80762500000003,10.897250000000014,11.487083999999982,1.051
400,150,160,240,150,0,1,0.9986666666666667,7.16508300000001,14.549584000000095,20.398415999999997,1.123
800,150,162,638,150,0,1,1,7.502083999999968,18.145083,44.55541599999992,1.274
